sequence,chatgpt_4.5-formula,chatgpt_4.5-formula-eval,chatgpt_4.5-formula-correctness,chatgpt_4.5-formula-copy_seq,chatgpt_4.5-formula-ordinal,deepseek-formula,deepseek-formula-eval,deepseek-formula-correctness,deepseek-formula-copy_seq,deepseek-formula-ordinal,claude_3.7-formula,claude_3.7-formula-eval,claude_3.7-formula-correctness,claude_3.7-formula-copy_seq,claude_3.7-formula-ordinal,grok_3-formula,grok_3-formula-eval,grok_3-formula-correctness,grok_3-formula-copy_seq,grok_3-formula-ordinal,qwen-formula,qwen-formula-eval,qwen-formula-correctness,qwen-formula-copy_seq,qwen-formula-ordinal,gpt_o1-program,gpt_o1-program-print,gpt_o1-program-correctness,gpt_4o-program,gpt_4o-program-print,gpt_4o-program-correctness,gpt_o1-formula,gpt_o1-formula-correctness,gpt_o1-formula-copy_seq,gpt_o1-formula-ordinal,gpt_4o-formula,gpt_4o-formula-eval,gpt_4o-formula-correctness,gpt_4o-formula-ordinal,gpt_4o-formula-copy_seq,claude_3.5-program,claude_3.5-program-print,claude_3.5-program-correctness,claude_3.5-formula,claude_3.5-formula-eval,claude_3.5-formula-ordinal,claude_3.5-formula-correctness,claude_3.5-formula-copy_seq,gpt_4o_mini-program,gpt_4o_mini-formula,gpt_4o_mini-program-print,gpt_4o_mini-program-correctness,gpt_4o_mini-formula-correctness,gpt_4o_mini-formula-ordinal,gpt_4o_mini-formula-copy_seq,cursor_small-program,cursor_small-program-correctness,cursor_small-program-print,cursor_small-formula,cursor_small-formula-eval,cursor_small-formula-correctness,cursor_small-formula-ordinal,cursor_small-formula-copy_seq,gemini-program,gemini-program-correctness,gemini-program-print,gemini-formula,gemini-formula-eval,gemini-formula-correctness,gemini-formula-ordinal,gemini-formula-copy_seq,meta-program,meta-program-print,meta-program-correctness,meta-formula,meta-ai-formula-eval,meta-formula-correctness,meta-formula-ordinal,meta-formula-copy_seq,o1_mini-program,o1_mini-program-correctness,o1_mini-program-print,o1_mini-formula,o1_mini-formula-eval,o1_mini-formula-correctness,o1_mini-formula-ordinal,o1_mini-formula-copy_seq,o1_preview-program,o1_preview-program-correctness,o1_preview-program-print,o1_preview-formula,o1_preview-formula-ordinal,o1_preview-formula-eval,o1_preview-formula-correctness,o1_preview-formula-copy_seq,mistral-program,mistral-program-print,mistral-program-correctness,mistral-formula,mistral-formula-eval,mistral-formula-copy_seq,mistral-formula-ordinal,mistral-formula-correctness
"1,1,0,0,0,1,0,0,0,0,1,0","[""[int(i in [0,1,5,10]) for i in range(12)]"",""[[1,1,0,0]*3][:12]"",""[int(i%5==0 or i<2) for i in range(12)]""],","1,1,0,0,0,1,0,0,0,0,1,0",True,False,True,"[1,1,0,0,0,1,0,0,0,0,1,0]","1,1,0,0,0,1,0,0,0,0,1,0",True,True,False,"a(n) = [n in {0,1,5,10}] ? 1 : 0 for n=0..11,","1,1,0,0,0,1,0,0,0,0,1,0",True,False,True,x^11 + x^10 + x^5 + x^0,"1,0,0,0,0,1,0,0,0,0,1,1",False,False,True,"[1,1,0,0,0,1,0,0,0,0,1,0]","1,1,0,0,0,1,0,0,0,0,1,0",True,True,False,*not found,False,False,"1,1,0,0,0,1,0,0,0,0,1,0",True,True,*not found,False,False,False,f(n) = (n % 5 == 0) ? 1 : 0,"0,0,0,0,1,0,0,0,1,0,0,0",False,False,False,"print([1,1,0,0,0,1,0,0,0,0,1,0])",True,True,f(n) = (n mod 5 == 0 || n mod 5 == 1) && n < 5,"1,1,0,0,0,0,0,0,0,0,0,0",False,False,False,"print(""110001000010"")","1,1,0,0,0,1,0,0,0,0,1,0",True,True,True,False,True,"print(""110001000010"")",True,True,"1,1,0,0,0,1,0,0,0,0,1,0","1,1,0,0,0,1,0,0,0,0,1,0",True,False,True,"print(1,1,0,0,0,1,0,0,0,0,1,0)",True,True,"1,1,0,0,0,1,0,0,0,0,1,0","1,1,0,0,0,1,0,0,0,0,1,0",True,False,True,"print([1,1,0,0,0,1,0,0,0,0,1,0])",True,True,y = 1 - |x mod 3 - 1|,"0,1,0,0,1,0,0,1,0,0,1,0",False,False,False,"print(""110001000010"")",True,True,"f_(n) = 1 if n _ {1,2,6,11}; else 0","1,1,0,0,0,1,0,0,0,0,1,0",True,True,False,"print([1,1,0,0,0,1,0,0,0,0,1,0])",True,True,"s(n)=1_if_n_in_[0,1,5,10]_else_0",True,"1,1,0,0,0,1,0,0,0,0,1,0",True,False,"print([1,1,0,0,0,1,0,0,0,0,1,0])",True,True,"[1,1,0,0,0,1,0,0,0,0,1,0]","1,1,0,0,0,1,0,0,0,0,1,0",True,False,True
"0,0,0,1,0,1,1,0,1,0,1,1","[""[int(i in [3,5,6,8,10,11]) for i in range(12)]"",""[int(bin(i).count(1)%2==1) for i in range(12)]"",""[int(i%4 in [1,2,3]) for i in range(12)]""],","0,0,0,1,0,1,1,0,1,0,1,1",True,False,True,"[0,0,0,1,0,1,1,0,1,0,1,1]","0,0,0,1,0,1,1,0,1,0,1,1",True,True,False,"a(n) = [n in {3,5,6,8,10,11}] ? 1 : 0 for n=0..11,","0,0,0,1,0,1,1,0,1,0,1,1",True,False,True,x^8 + x^6 + x^5 + x^3 + x^2 + x^0,"1,0,1,1,0,1,1,0,1,0,0,0",False,False,True,"[0,0,0,1,0,1,1,0,1,0,1,1]","0,0,0,1,0,1,1,0,1,0,1,1",True,True,False,*not found,False,False,"0,0,0,1,0,1,1,0,1,0,1,1",True,True,*not found,False,False,False,f(n) = (n % 4 == 3) ? 1 : 0,"0,0,0,1,0,0,0,1,0,0,0,1",False,False,False,"print([0,0,0,1,0,1,1,0,1,0,1,1])",True,True,f(n) = (n + 3) mod 4 == 0 || (n - 2) mod 7 == 0,"0,1,1,0,0,1,0,0,0,1,0,0",False,False,False,"print(""000101100101"")","0,0,0,1,0,1,1,0,1,0,1,1",True,True,True,False,True,"print(""000101100101"")",True,True,"0,0,0,1,0,1,1,0,1,0,1,1","0,0,0,1,0,1,1,0,1,0,1,1",True,False,True,"print(0,0,0,1,0,1,1,0,1,0,1,1)",True,True,"0,0,0,1,0,1,1,0,1,0,1,1","0,0,0,1,0,1,1,0,1,0,1,1",True,False,True,"print([0,0,0,1,0,1,1,0,1,0,1,1])",True,True,y = |x mod 4 - 2|,"0,1,1,0,0,1,1,0,0,1,1,0",False,False,False,"print(""000101100101"")",True,True,"f_(n) = 1 if n _ {4,6,7,9,11,12}; else 0","0,0,0,1,0,1,1,0,1,0,1,1",True,True,False,"print([0,0,0,1,0,1,1,0,1,0,1,1])",True,True,"s(n)=1_if_n_in_[3,5,6,8,10,11]_else_0",True,"0,0,0,1,0,1,1,0,1,0,1,1",True,False,"print([0,0,0,1,0,1,1,0,1,0,1,1])",True,True,"[0,0,0,1,0,1,1,0,1,0,1,1]","0,0,0,1,0,1,1,0,1,0,1,1",True,False,True
"1,0,0,0,0,1,1,1,1,0,0,1","[""[int(i in [0,5,6,7,8,11]) for i in range(12)]"",""[int((i+1)%6<4 and i>4 or i in [0,11]) for i in range(12)]"",""[int(i<1 or i>4 and i<9 or i==11) for i in range(12)]""],","1,0,0,0,0,1,1,1,1,0,0,1",True,False,True,"[1,0,0,0,0,1,1,1,1,0,0,1]","1,0,0,0,0,1,1,1,1,0,0,1",True,True,False,"a(n) = [n in {0,5,6,7,8,10,11}] ? 1 : 0 for n=0..11,","1,0,0,0,0,1,1,1,1,0,1,1",False,False,True,x^11 + x^6 + x^5 + x^4 + x^3 + x^0,"1,0,0,1,1,1,1,0,0,0,0,1",False,False,True,"[1,0,0,0,0,1,1,1,1,0,0,1]","1,0,0,0,0,1,1,1,1,0,0,1",True,True,False,*not found,False,False,"1,0,0,0,0,1,1,1,1,0,0,1",True,True,*not found,False,False,False,f(n) = (n % 6 == 0) ? 1 : 0,"0,0,0,0,0,1,0,0,0,0,0,1",False,False,False,"print([1,0,0,0,0,1,1,1,1,0,0,1])",True,True,f(n) = n mod 6 >= 4 && n < 10,"0,0,0,0,1,1,0,0,0,0,0,0",False,False,False,"print(""100001111001"")","1,0,0,0,0,1,1,1,1,0,0,1",True,True,True,False,True,"print(""100001111001"")",True,True,"1,0,0,0,0,1,1,1,1,0,0,1","1,0,0,0,0,1,1,1,1,0,0,1",True,False,True,"print(1,0,0,0,0,1,1,1,1,0,0,1)",True,True,"1,0,0,0,0,1,1,1,1,0,0,1","1,0,0,0,0,1,1,1,1,0,0,1",True,False,True,"print([1,0,0,0,0,1,1,1,1,0,0,1])",True,True,y = |x mod 4 - 3|,"0,0,1,1,0,0,1,1,0,0,1,1",False,False,False,"print(""100001111001"")",True,True,"f_(n) = 1 if n _ {1,6,7,8,9,12}; else 0","1,0,0,0,0,1,1,1,1,0,0,1",True,True,False,"print([1,0,0,0,0,1,1,1,1,0,0,1])",True,True,"s(n)=1_if_n_in_[0,5,6,7,8,11]_else_0",True,"1,0,0,0,0,1,1,1,1,0,0,1",True,False,"print([1,0,0,0,0,1,1,1,1,0,0,1])",True,True,"[1,0,0,0,0,1,1,1,1,0,0,1]","1,0,0,0,0,1,1,1,1,0,0,1",True,False,True
"1,1,1,1,1,1,1,1,0,1,0,0","[""[int(i<8 or i==9) for i in range(12)]"",""[1]*8+[0,1,0,0]"",""[int(i!=8 and i!=10 and i!=11) for i in range(12)]""],","1,1,1,1,1,1,1,1,0,1,0,0",True,False,True,"[1,1,1,1,1,1,1,1,0,1,0,0]","1,1,1,1,1,1,1,1,0,1,0,0",True,True,False,"a(n) = [n < 9 or n=10] ? 1 : 0 for n=0..11,","1,1,1,1,1,1,1,1,1,0,1,0",False,False,True,x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + x^2,"0,0,1,0,1,1,1,1,1,1,1,1",False,False,True,"[1,1,1,1,1,1,1,1,0,1,0,0]","1,1,1,1,1,1,1,1,0,1,0,0",True,True,False,*not found,False,False,"1,1,1,1,1,1,1,1,0,1,0,0",True,True,*not found,False,False,False,f(n) = (n < 8) ? 1 : 0,"1,1,1,1,1,1,1,0,0,0,0,0",False,False,False,"print([1,1,1,1,1,1,1,1,0,1,0,0])",True,True,f(n) = n < 8 || n == 9,"1,1,1,1,1,1,1,1,0,1,0,0",False,True,False,"print(""111111110100"")","1,1,1,1,1,1,1,1,0,1,0,0",True,True,True,False,True,"print(""111111110100"")",True,True,"1,1,1,1,1,1,1,1,0,1,0,0","1,1,1,1,1,1,1,1,0,1,0,0",True,False,True,"print(1,1,1,1,1,1,1,1,0,1,0,0)",True,True,"1,1,1,1,1,1,1,1,0,1,0,0","1,1,1,1,1,1,1,1,0,1,0,0",True,False,True,"print([1,1,1,1,1,1,1,1,0,1,0,0])",True,True,y = 1 - |x mod 12 - 11|,"0,0,0,0,0,0,0,0,0,0,0,1",False,False,False,"print(""111111110100"")",True,True,"f_(n) = 1 if n _ {1,2,3,4,5,6,7,8,10}; else 0","1,1,1,1,1,1,1,1,0,1,0,0",True,True,False,"print([1,1,1,1,1,1,1,1,0,1,0,0])",True,True,"s(n)=1_if_n_in_[0,1,2,3,4,5,6,7,9]_else_0",True,"1,1,1,1,1,1,1,1,0,1,0,0",True,False,"print([1,1,1,1,1,1,1,1,0,1,0,0])",True,True,"[1,1,1,1,1,1,1,1,0,1,0,0]","1,1,1,1,1,1,1,1,0,1,0,0",True,False,True
"1,0,1,1,0,1,0,1,0,1,0,0","[""[int(i in [0,2,3,5,7,9]) for i in range(12)]"",""[int(i%2==0 and i<4 or i%2==1 and i<10) for i in range(12)]""],","1,0,1,1,0,1,0,1,0,1,0,0",True,False,True,"[1,0,1,1,0,1,0,1,0,1,0,0]","1,0,1,1,0,1,0,1,0,1,0,0",True,True,False,"a(n) = [n in {0,2,3,5,7,9}] ? 1 : 0 for n=0..11,","1,0,1,1,0,1,0,1,0,1,0,0",True,False,True,x^11 + x^9 + x^7 + x^5 + x^3 + x^2,"0,0,1,1,0,1,0,1,0,1,0,1",False,False,True,"[1,0,1,1,0,1,0,1,0,1,0,0]","1,0,1,1,0,1,0,1,0,1,0,0",True,True,False,*not found,False,False,"1,0,1,1,0,1,0,1,0,1,0,0",True,True,*not found,False,False,False,f(n) = (n % 3 == 0) ? 1 : 0,"0,0,1,0,0,1,0,0,1,0,0,1",False,False,False,"print([1,0,1,1,0,1,0,1,0,1,0,0])",True,True,f(n) = n mod 2 == 0 && n mod 3 != 1,"1,0,1,0,0,0,1,0,1,0,0,0",False,False,False,"print(""101101010100"")","1,0,1,1,0,1,0,1,0,1,0,0",True,True,True,False,True,"print(""101101010100"")",True,True,"1,0,1,1,0,1,0,1,0,1,0,0","1,0,1,1,0,1,0,1,0,1,0,0",True,False,True,"print(1,0,1,1,0,1,0,1,0,1,0,0)",True,True,"1,0,1,1,0,1,0,1,0,1,0,0","1,0,1,1,0,1,0,1,0,1,0,0",True,False,True,"print([1,0,1,1,0,1,0,1,0,1,0,0])",True,True,y = |x mod 5 - 3| > 1,"0,0,0,0,0,0,0,0,0,0,0,0",False,False,False,"print(""101101010100"")",True,True,"f_(n) = 1 if n _ {1,3,4,6,8,10}; else 0","1,0,1,1,0,1,0,1,0,1,0,0",True,True,False,"print([1,0,1,1,0,1,0,1,0,1,0,0])",True,True,"s(n)=1_if_n_in_[0,2,3,5,7,9]_else_0",True,"1,0,1,1,0,1,0,1,0,1,0,0",True,False,"print([1,0,1,1,0,1,0,1,0,1,0,0])",True,True,"[1,0,1,1,0,1,0,1,0,1,0,0]","1,0,1,1,0,1,0,1,0,1,0,0",True,False,True
"1,1,1,0,0,1,1,0,1,1,0,1","[""[int(i in [0,1,2,5,6,8,9,11]) for i in range(12)]""],","1,1,1,0,0,1,1,0,1,1,0,1",True,False,True,"[1,1,1,0,0,1,1,0,1,1,0,1]","1,1,1,0,0,1,1,0,1,1,0,1",True,True,False,"a(n) = [n in {0,1,2,5,6,8,9,10}] ? 1 : 0 for n=0..11,","1,1,1,0,0,1,1,0,1,1,1,0",False,False,True,x^11 + x^10 + x^9 + x^5 + x^4 + x^2 + x^0,"1,0,1,0,1,1,0,0,0,1,1,1",False,False,True,"[1,1,1,0,0,1,1,0,1,1,0,1]","1,1,1,0,0,1,1,0,1,1,0,1",True,True,False,*not found,False,False,"1,1,1,0,0,1,1,0,1,1,0,1",True,True,*not found,False,False,False,f(n) = (n % 7 == 0) ? 1 : 0,"0,0,0,0,0,0,1,0,0,0,0,0",False,False,False,"print([1,1,1,0,0,1,1,0,1,1,0,1])",True,True,f(n) = (n + 1) mod 3 == 0 || n mod 4 == 0,"1,0,1,0,1,1,0,0,1,0,0,1",False,False,False,"print(""111001101101"")","1,1,1,0,0,1,1,0,1,1,0,1",True,True,True,False,True,"print(""111001101101"")",True,True,"1,1,1,0,0,1,1,0,1,1,0,1","1,1,1,0,0,1,1,0,1,1,0,1",True,False,True,"print(1,1,1,0,0,1,1,0,1,1,0,1)",True,True,"1,1,1,0,0,1,1,0,1,1,0,1","1,1,1,0,0,1,1,0,1,1,0,1",True,False,True,"print([1,1,1,0,0,1,1,0,1,1,0,1])",True,True,y = |x mod 4 - 2| + |x mod 3 - 1| > 1,"0,0,0,1,0,0,0,1,0,0,0,1",False,False,False,"print(""111001101101"")",True,True,"f_(n) = 1 if n _ {1,2,3,6,7,9,11}; else 0","1,1,1,0,0,1,1,0,1,0,1,0",False,True,False,"print([1,1,1,0,0,1,1,0,1,1,0,1])",True,True,"s(n)=1_if_n_in_[0,1,2,5,6,8,9,11]_else_0",True,"1,1,1,0,0,1,1,0,1,1,0,1",True,False,"print([1,1,1,0,0,1,1,0,1,1,0,1])",True,True,"[1,1,1,0,0,1,1,0,1,1,0,1]","1,1,1,0,0,1,1,0,1,1,0,1",True,False,True
"0,0,1,1,1,0,0,1,0,1,1,0","[""[int(i in [2,3,4,7,9,10]) for i in range(12)]""],","0,0,1,1,1,0,0,1,0,1,1,0",True,False,True,"[0,0,1,1,1,0,0,1,0,1,1,0]","0,0,1,1,1,0,0,1,0,1,1,0",True,True,False,"a(n) = [n in {2,3,4,7,9,10,11}] ? 1 : 0 for n=0..11,","0,0,1,1,1,0,0,1,0,1,1,1",False,False,True,x^9 + x^8 + x^7 + x^4 + x^3 + x^2,"0,0,1,1,1,0,0,1,1,1,0,0",False,False,True,"[0,0,1,1,1,0,0,1,0,1,1,0]","0,0,1,1,1,0,0,1,0,1,1,0",True,True,False,*not found,False,False,"0,0,1,1,1,0,0,1,0,1,1,0",True,True,*not found,False,False,False,f(n) = (n % 5 == 2) ? 1 : 0,"0,0,1,0,0,0,0,1,0,0,1,0",False,False,False,"print([0,0,1,1,1,0,0,1,0,1,1,0])",True,True,f(n) = (n - 2) mod 3 == 0 && n < 9,"0,0,1,0,0,1,0,0,1,0,0,0",False,False,False,"print(""001110101100"")","0,0,1,1,1,0,0,1,0,1,1,0",True,True,True,False,True,"print(""001110101100"")",True,True,"0,0,1,1,1,0,0,1,0,1,1,0","0,0,1,1,1,0,0,1,0,1,1,0",True,False,True,"print(0,0,1,1,1,0,0,1,0,1,1,0)",True,True,"0,0,1,1,1,0,0,1,0,1,1,0","0,0,1,1,1,0,0,1,0,1,1,0",True,False,True,"print([0,0,1,1,1,0,0,1,0,1,1,0])",True,True,y = |x mod 4 - 1| + |x mod 3 - 1| > 1,"0,0,0,1,0,0,0,1,0,0,0,1",False,False,False,"print(""001110101100"")",True,True,"f_(n) = 1 if n _ {3,4,5,8,10,11}; else 0","0,0,1,1,1,0,0,1,0,1,1,0",True,True,False,"print([0,0,1,1,1,0,0,1,0,1,1,0])",True,True,"s(n)=1_if_n_in_[2,3,4,7,10,11]_else_0",True,"0,0,1,1,1,0,0,1,0,0,1,1",False,False,"print([0,0,1,1,1,0,0,1,0,1,1,0])",True,True,"[0,0,1,1,1,0,0,1,0,1,1,0]","0,0,1,1,1,0,0,1,0,1,1,0",True,False,True
"1,1,1,0,0,0,0,0,0,0,0,0","[""[int(i<3) for i in range(12)]""],","1,1,1,0,0,0,0,0,0,0,0,0",True,False,True,"[1,1,1,0,0,0,0,0,0,0,0,0]","1,1,1,0,0,0,0,0,0,0,0,0",True,True,False,"a(n) = [n < 3] ? 1 : 0 for n=0..11,","1,1,1,0,0,0,0,0,0,0,0,0",True,False,True,x^11 + x^10 + x^9,"0,0,0,0,0,0,0,0,0,1,1,1",False,False,True,"[1,1,1,0,0,0,0,0,0,0,0,0]","1,1,1,0,0,0,0,0,0,0,0,0",True,True,False,*not found,False,False,"1,1,1,0,0,0,0,0,0,0,0,0",True,True,*not found,False,False,False,f(n) = (n < 8) ? 1 : 0,"1,1,1,1,1,1,1,0,0,0,0,0",False,False,False,"print([1,1,1,0,0,0,0,0,0,0,0,0])",True,True,f(n) = n < 3,"1,1,1,0,0,0,0,0,0,0,0,0",False,True,False,"print(""111000000000"")","1,1,1,0,0,0,0,0,0,0,0,0",True,True,True,False,True,"print(""111000000000"")",True,True,"1,1,1,0,0,0,0,0,0,0,0,0","1,1,1,0,0,0,0,0,0,0,0,0",True,False,True,"print(1,1,1,0,0,0,0,0,0,0,0,0)",True,True,"1,1,1,0,0,0,0,0,0,0,0,0","1,1,1,0,0,0,0,0,0,0,0,0",True,False,True,"print([1,1,1,0,0,0,0,0,0,0,0,0])",True,True,y = 1 - |x mod 12|,"1,0,0,0,0,0,0,0,0,0,0,0",False,False,False,"print(""111000000000"")",True,True,"f_(n) = 1 if n _ {1,2,3}; else 0","1,1,1,0,0,0,0,0,0,0,0,0",True,True,False,"print([1,1,1,0,0,0,0,0,0,0,0,0])",True,True,"s(n)=1_if_n_in_[0,1,2]_else_0",True,"1,1,1,0,0,0,0,0,0,0,0,0",True,False,"print([1,1,1,0,0,0,0,0,0,0,0,0])",True,True,"[1,1,1,0,0,0,0,0,0,0,0,0]","1,1,1,0,0,0,0,0,0,0,0,0",True,False,True
"0,1,1,1,1,0,1,0,1,1,1,1","[""[int(i in [1,2,3,4,6,8,9,10,11]) for i in range(12)]""],","0,1,1,1,1,0,1,0,1,1,1,1",True,False,True,"[0,1,1,1,1,0,1,0,1,1,1,1]","0,1,1,1,1,0,1,0,1,1,1,1",True,True,False,"a(n) = [n in {1,2,3,4,6,8,9,10,11}] ? 1 : 0 for n=0..11,","0,1,1,1,1,0,1,0,1,1,1,1",True,False,True,x^11 + x^10 + x^9 + x^8 + x^7 + x^5 + x^3 + x^2 + x^1 + x^0,"1,1,1,1,0,1,0,1,1,1,1,1",False,False,True,"[0,1,1,1,1,0,1,0,1,1,1,1]","0,1,1,1,1,0,1,0,1,1,1,1",True,True,False,*not found,False,False,"0,1,1,1,1,0,1,0,1,1,1,1",True,True,*not found,False,False,False,f(n) = (n % 3 == 1) ? 1 : 0,"0,1,0,1,0,1,0,1,0,1,0,1",False,False,False,"print([0,1,1,1,1,0,1,0,1,1,1,1])",True,True,f(n) = (n + 1) mod 2 == 0 && n != 6,"0,1,0,1,0,1,0,1,0,1,0,1",False,False,False,"print(""011100101111"")","0,1,1,1,1,0,1,0,1,1,1,1",True,True,True,False,True,"print(""011100101111"")",True,True,"0,1,1,1,1,0,1,0,1,1,1,1","0,1,1,1,1,0,1,0,1,1,1,1",True,False,True,"print(0,1,1,1,1,0,1,0,1,1,1,1)",True,True,"0,1,1,1,1,0,1,0,1,1,1,1","0,1,1,1,1,0,1,0,1,1,1,1",True,False,True,"print([0,1,1,1,1,0,1,0,1,1,1,1])",True,True,y = |x mod 12 - 10|,"0,0,0,0,0,0,0,0,0,1,0,0",False,False,False,"print(""011100101111"")",True,True,"f_(n) = 1 if n _ {2,3,4,5,7,9,10,11,12}; else 0","0,1,1,1,1,0,1,0,1,1,1,1",True,True,False,"print([0,1,1,1,1,0,1,0,1,1,1,1])",True,True,"s(n)=1_if_n_in_[1,2,3,4,6,8,9,10,11]_else_0",True,"0,1,1,1,1,0,1,0,1,1,1,1",True,False,"print([0,1,1,1,1,0,1,0,1,1,1,1])",True,True,"[0,1,1,1,1,0,1,0,1,1,1,1]","0,1,1,1,1,0,1,0,1,1,1,1",True,False,True
"1,1,0,0,0,1,1,1,0,1,1,1","[""[int(i in [0,1,5,6,7,9,10,11]) for i in range(12)]""],","1,1,0,0,0,1,1,1,0,1,1,1",True,False,True,"[1,1,0,0,0,1,1,1,0,1,1,1]","1,1,0,0,0,1,1,1,0,1,1,1",True,True,False,"a(n) = [n in {0,1,5,6,7,9,10,11}] ? 1 : 0 for n=0..11,","1,1,0,0,0,1,1,1,0,1,1,1",True,False,True,x^11 + x^10 + x^5 + x^4 + x^3 + x^2 + x^0,"1,0,1,1,1,1,0,0,0,0,1,1",False,False,True,"[1,1,0,0,0,1,1,1,0,1,1,1]","1,1,0,0,0,1,1,1,0,1,1,1",True,True,False,*not found,False,False,"1,1,0,0,0,1,1,1,0,1,1,1",True,True,*not found,False,False,False,f(n) = (n % 4 == 0) ? 1 : 0,"0,0,0,0,1,0,0,0,0,0,1,0",False,False,False,"print([1,1,0,0,0,1,1,1,0,1,1,1])",True,True,f(n) = n < 3 || n > 7,"1,1,1,0,0,0,0,0,1,1,1,1",False,False,False,"print(""110011110111"")","1,1,0,0,0,1,1,1,0,1,1,1",True,True,True,False,True,"print(""110011110111"")",True,True,"1,1,0,0,0,1,1,1,0,1,1,1","1,1,0,0,0,1,1,1,0,1,1,1",True,False,True,"print(1,1,0,0,0,1,1,1,0,1,1,1)",True,True,"1,1,0,0,0,1,1,1,0,1,1,1","1,1,0,0,0,1,1,1,0,1,1,1",True,False,True,"print([1,1,0,0,0,1,1,1,0,1,1,1])",True,True,y = |x mod 4 - 2| + |x mod 3 - 1|,"1,2,2,1,1,2,2,1,1,2,2,1",False,False,False,"print(""110011110111"")",True,True,"f__(n) = 1 if n _ {1,2,6,7,10,11,12}; else 0","1,1,0,0,0,1,1,0,0,1,1,1",False,True,False,"print([1,1,0,0,0,1,1,1,0,1,1,1])",True,True,"s(n)=1_if_n_in_[0,1,5,6,7,9,10,11]_else_0",True,"1,1,0,0,0,1,1,1,0,1,1,1",True,False,"print([1,1,0,0,0,1,1,1,0,1,1,1])",True,True,"[1,1,0,0,0,1,1,1,0,1,1,1]","1,1,0,0,0,1,1,1,0,1,1,1",True,False,True
